Drug,PC1,PC2
Amphetamine,-3.067046271011222,0.7152904826131699
Atomoxetine,0.30711159164384855,0.664712850741785
Dexamphetamine ,0.34941818133278796,0.3497471752122474
Guanfacine,-0.9418428186259798,-2.082902891717207
Lisdexamfetamine,4.589319358866542,0.05879364799538144
Methylphenidate,-1.2369600422059766,0.2943587351546235
