Disease,Drug,pairs,Disease Protein,Drug Protein,PPI_Distance,PPI_Distance_Z_score,p value,p value_adjust
Arterial disease,Atomoxetine,"['Arterial disease', 'Nonstimulants(atomoxetine)']","[100, 10019, 10056, 10062, 10155, 10428, 1066, 1071, 112398, 11251, 1129, 1137, 1215, 1269, 1277, 1281, 1289, 1290, 134, 135, 139760, 1401, 142, 1441, 146, 1514, 152, 1520, 153, 153090, 1535, 154, 1543, 1593, 1636, 177, 1813, 183, 1832, 19, 1901, 1909, 1910, 1956, 196, 207, 2099, 2101, 2103, 2104, 213, 2147, 2149, 2150, 2168, 217, 2200, 2213, 2222, 2243, 2244, 2246, 2247, 2260, 2277, 23034, 23057, 2316, 2321, 23411, 240, 241, 246, 25, 2539, 255738, 2697, 27329, 2908, 2941, 2944, 2952, 2982, 2983, 30008, 3002, 3039, 3040, 3082, 3156, 3240, 3269, 3290, 3304, 3339, 335, 3356, 337, 3383, 338442, 341, 3440, 345, 3458, 348, 3481, 3552, 3553, 356, 3569, 367, 3674, 368, 3685, 3690, 3791, 3902, 3932, 3949, 4015, 4018, 4048, 4057, 406884, 406885, 406886, 406887, 406891, 406903, 406910, 406913, 406919, 406921, 406937, 406943, 406961, 406966, 406982, 407010, 407011, 407014, 407018, 407029, 407034, 407054, 407056, 4088, 4142, 4233, 4282, 4306, 4311, 4312, 4313, 4318, 432, 4321, 442890, 442891, 442904, 4547, 4625, 4629, 4638, 47, 476, 4763, 477, 478, 4790, 4791, 481, 482, 483, 4843, 4846, 4864, 4883, 4886, 494337, 495, 4973, 5054, 5055, 50616, 5104, 51206, 51284, 5139, 5141, 5142, 5144, 5155, 5265, 5294, 5319, 5320, 5327, 538, 54106, 5444, 5465, 5467, 5468, 54984, 552, 5624, 5729, 5732, 5733, 5737, 5739, 574031, 574034, 5742, 5743, 574447, 5753, 5787, 5819, 5966, 5970, 5971, 5972, 602, 6093, 6097, 619556, 6300, 6311, 6335, 6347, 6348, 6351, 6387, 6403, 64240, 64805, 6497, 6523, 6524, 6568, 6647, 6648, 6714, 6774, 682, 6915, 695, 7010, 7040, 7046, 7048, 7083, 7099, 7124, 7157, 727, 7274, 729230, 7297, 7376, 7412, 7422, 7442, 781, 7852, 79001, 7941, 79651, 81031, 84649, 8654, 8767, 8856, 8877, 8972, 9021, 9365, 9370, 974, 9957, 9971]","[1557, 1565, 213, 2209, 3760, 4986, 6530, 6532]",1.5,-0.312798515,0.252,1.0
Arterial disease,Guanfacine,"['Arterial disease', 'Guanfacine']","[100, 10019, 10056, 10062, 10155, 10428, 1066, 1071, 112398, 11251, 1129, 1137, 1215, 1269, 1277, 1281, 1289, 1290, 134, 135, 139760, 1401, 142, 1441, 146, 1514, 152, 1520, 153, 153090, 1535, 154, 1543, 1593, 1636, 177, 1813, 183, 1832, 19, 1901, 1909, 1910, 1956, 196, 207, 2099, 2101, 2103, 2104, 213, 2147, 2149, 2150, 2168, 217, 2200, 2213, 2222, 2243, 2244, 2246, 2247, 2260, 2277, 23034, 23057, 2316, 2321, 23411, 240, 241, 246, 25, 2539, 255738, 2697, 27329, 2908, 2941, 2944, 2952, 2982, 2983, 30008, 3002, 3039, 3040, 3082, 3156, 3240, 3269, 3290, 3304, 3339, 335, 3356, 337, 3383, 338442, 341, 3440, 345, 3458, 348, 3481, 3552, 3553, 356, 3569, 367, 3674, 368, 3685, 3690, 3791, 3902, 3932, 3949, 4015, 4018, 4048, 4057, 406884, 406885, 406886, 406887, 406891, 406903, 406910, 406913, 406919, 406921, 406937, 406943, 406961, 406966, 406982, 407010, 407011, 407014, 407018, 407029, 407034, 407054, 407056, 4088, 4142, 4233, 4282, 4306, 4311, 4312, 4313, 4318, 432, 4321, 442890, 442891, 442904, 4547, 4625, 4629, 4638, 47, 476, 4763, 477, 478, 4790, 4791, 481, 482, 483, 4843, 4846, 4864, 4883, 4886, 494337, 495, 4973, 5054, 5055, 50616, 5104, 51206, 51284, 5139, 5141, 5142, 5144, 5155, 5265, 5294, 5319, 5320, 5327, 538, 54106, 5444, 5465, 5467, 5468, 54984, 552, 5624, 5729, 5732, 5733, 5737, 5739, 574031, 574034, 5742, 5743, 574447, 5753, 5787, 5819, 5966, 5970, 5971, 5972, 602, 6093, 6097, 619556, 6300, 6311, 6335, 6347, 6348, 6351, 6387, 6403, 64240, 64805, 6497, 6523, 6524, 6568, 6647, 6648, 6714, 6774, 682, 6915, 695, 7010, 7040, 7046, 7048, 7083, 7099, 7124, 7157, 727, 7274, 729230, 7297, 7376, 7412, 7422, 7442, 781, 7852, 79001, 7941, 79651, 81031, 84649, 8654, 8767, 8856, 8877, 8972, 9021, 9365, 9370, 974, 9957, 9971]","[150, 151, 152, 1557, 1576, 5443, 55244, 5972, 6580, 6582]",1.4,-1.052058121,0.081,1.0
Cerebrovascular disease,Methylphenidate,"['Cerebrovascular disease', 'Methylphenidate']","[1071, 1129, 1215, 1270, 1282, 1284, 134, 1401, 1441, 1520, 154, 1636, 1813, 182, 1901, 1906, 1909, 1910, 2006, 207, 2147, 2155, 2168, 217, 219699, 2243, 2244, 2321, 240, 241, 25, 2539, 255738, 25939, 2717, 27329, 29914, 3039, 3040, 3106, 3119, 3123, 3156, 3162, 3163, 335, 3356, 338442, 3553, 367, 3674, 368, 3685, 3690, 3791, 3932, 4018, 4233, 4306, 4311, 4313, 4314, 4318, 432, 462, 47, 476, 4763, 477, 478, 481, 482, 483, 4843, 4864, 4879, 4886, 495, 5116, 5139, 5294, 5319, 5327, 5328, 538, 5443, 5465, 5468, 552, 5624, 5654, 5742, 5743, 5753, 57572, 57674, 581, 59, 596, 5972, 598, 6285, 6300, 64805, 6523, 6524, 6696, 6714, 6915, 7083, 727, 7422, 7450, 781, 79184, 7941, 81031, 836, 841, 84649, 8654, 8767, 8972, 9423, 9963]","[1066, 152, 1815, 2353, 3350, 6530, 6531, 6532, 9407, 9456]",1.6,-0.710949473,0.138,1.0
Cerebrovascular disease,Amphetamine,"['Cerebrovascular disease', 'Amphetamine']","[1071, 1129, 1215, 1270, 1282, 1284, 134, 1401, 1441, 1520, 154, 1636, 1813, 182, 1901, 1906, 1909, 1910, 2006, 207, 2147, 2155, 2168, 217, 219699, 2243, 2244, 2321, 240, 241, 25, 2539, 255738, 25939, 2717, 27329, 29914, 3039, 3040, 3106, 3119, 3123, 3156, 3162, 3163, 335, 3356, 338442, 3553, 367, 3674, 368, 3685, 3690, 3791, 3932, 4018, 4233, 4306, 4311, 4313, 4314, 4318, 432, 462, 47, 476, 4763, 477, 478, 481, 482, 483, 4843, 4864, 4879, 4886, 495, 5116, 5139, 5294, 5319, 5327, 5328, 538, 5443, 5465, 5468, 552, 5624, 5654, 5742, 5743, 5753, 57572, 57674, 581, 59, 596, 5972, 598, 6285, 6300, 64805, 6523, 6524, 6696, 6714, 6915, 7083, 727, 7422, 7450, 781, 79184, 7941, 81031, 836, 841, 84649, 8654, 8767, 8972, 9423, 9963]","[116, 134864, 135, 1390, 147, 148, 150, 153, 1548, 1565, 1813, 2247, 2353, 2572, 2697, 2890, 2902, 2915, 3020, 3021, 3363, 3758, 4128, 4129, 468, 4803, 51655, 5173, 5595, 5999, 6530, 6531, 6532, 6571, 6581, 6584, 6622, 6794, 7054, 7098, 84152, 847, 9407, 9607]",1.5454545454545454,-1.469635734,0.047,1.0
Cerebrovascular disease,Dexamphetamine ,"['Cerebrovascular disease', 'Dexamphetamine (Dextroamphetamine)']","[1071, 1129, 1215, 1270, 1282, 1284, 134, 1401, 1441, 1520, 154, 1636, 1813, 182, 1901, 1906, 1909, 1910, 2006, 207, 2147, 2155, 2168, 217, 219699, 2243, 2244, 2321, 240, 241, 25, 2539, 255738, 25939, 2717, 27329, 29914, 3039, 3040, 3106, 3119, 3123, 3156, 3162, 3163, 335, 3356, 338442, 3553, 367, 3674, 368, 3685, 3690, 3791, 3932, 4018, 4233, 4306, 4311, 4313, 4314, 4318, 432, 462, 47, 476, 4763, 477, 478, 481, 482, 483, 4843, 4864, 4879, 4886, 495, 5116, 5139, 5294, 5319, 5327, 5328, 538, 5443, 5465, 5468, 552, 5624, 5654, 5742, 5743, 5753, 57572, 57674, 581, 59, 596, 5972, 598, 6285, 6300, 64805, 6523, 6524, 6696, 6714, 6915, 7083, 727, 7422, 7450, 781, 79184, 7941, 81031, 836, 841, 84649, 8654, 8767, 8972, 9423, 9963]","[134864, 147, 1565, 6530, 6531, 6571]",1.8333333333333333,-0.377083547,0.154,1.0
Cerebrovascular disease,Lisdexamfetamine,"['Cerebrovascular disease', 'Lisdexamfetamine']","[1071, 1129, 1215, 1270, 1282, 1284, 134, 1401, 1441, 1520, 154, 1636, 1813, 182, 1901, 1906, 1909, 1910, 2006, 207, 2147, 2155, 2168, 217, 219699, 2243, 2244, 2321, 240, 241, 25, 2539, 255738, 25939, 2717, 27329, 29914, 3039, 3040, 3106, 3119, 3123, 3156, 3162, 3163, 335, 3356, 338442, 3553, 367, 3674, 368, 3685, 3690, 3791, 3932, 4018, 4233, 4306, 4311, 4313, 4314, 4318, 432, 462, 47, 476, 4763, 477, 478, 481, 482, 483, 4843, 4864, 4879, 4886, 495, 5116, 5139, 5294, 5319, 5327, 5328, 538, 5443, 5465, 5468, 552, 5624, 5654, 5742, 5743, 5753, 57572, 57674, 581, 59, 596, 5972, 598, 6285, 6300, 64805, 6523, 6524, 6696, 6714, 6915, 7083, 727, 7422, 7450, 781, 79184, 7941, 81031, 836, 841, 84649, 8654, 8767, 8972, 9423, 9963]","[134864, 1565, 6564]",2.333333333333333,2.3401048468030186,0.972,1.0
Cerebrovascular disease,Atomoxetine,"['Cerebrovascular disease', 'Nonstimulants(atomoxetine)']","[1071, 1129, 1215, 1270, 1282, 1284, 134, 1401, 1441, 1520, 154, 1636, 1813, 182, 1901, 1906, 1909, 1910, 2006, 207, 2147, 2155, 2168, 217, 219699, 2243, 2244, 2321, 240, 241, 25, 2539, 255738, 25939, 2717, 27329, 29914, 3039, 3040, 3106, 3119, 3123, 3156, 3162, 3163, 335, 3356, 338442, 3553, 367, 3674, 368, 3685, 3690, 3791, 3932, 4018, 4233, 4306, 4311, 4313, 4314, 4318, 432, 462, 47, 476, 4763, 477, 478, 481, 482, 483, 4843, 4864, 4879, 4886, 495, 5116, 5139, 5294, 5319, 5327, 5328, 538, 5443, 5465, 5468, 552, 5624, 5654, 5742, 5743, 5753, 57572, 57674, 581, 59, 596, 5972, 598, 6285, 6300, 64805, 6523, 6524, 6696, 6714, 6915, 7083, 727, 7422, 7450, 781, 79184, 7941, 81031, 836, 841, 84649, 8654, 8767, 8972, 9423, 9963]","[1557, 1565, 213, 2209, 3760, 4986, 6530, 6532]",1.875,0.6619063014264723,0.569,1.0
Cerebrovascular disease,Guanfacine,"['Cerebrovascular disease', 'Guanfacine']","[1071, 1129, 1215, 1270, 1282, 1284, 134, 1401, 1441, 1520, 154, 1636, 1813, 182, 1901, 1906, 1909, 1910, 2006, 207, 2147, 2155, 2168, 217, 219699, 2243, 2244, 2321, 240, 241, 25, 2539, 255738, 25939, 2717, 27329, 29914, 3039, 3040, 3106, 3119, 3123, 3156, 3162, 3163, 335, 3356, 338442, 3553, 367, 3674, 368, 3685, 3690, 3791, 3932, 4018, 4233, 4306, 4311, 4313, 4314, 4318, 432, 462, 47, 476, 4763, 477, 478, 481, 482, 483, 4843, 4864, 4879, 4886, 495, 5116, 5139, 5294, 5319, 5327, 5328, 538, 5443, 5465, 5468, 552, 5624, 5654, 5742, 5743, 5753, 57572, 57674, 581, 59, 596, 5972, 598, 6285, 6300, 64805, 6523, 6524, 6696, 6714, 6915, 7083, 727, 7422, 7450, 781, 79184, 7941, 81031, 836, 841, 84649, 8654, 8767, 8972, 9423, 9963]","[150, 151, 152, 1557, 1576, 5443, 55244, 5972, 6580, 6582]",1.6,-1.2332342,0.059,1.0
Heart failure,Methylphenidate,"['Heart failure', 'Methylphenidate']","[100126336, 100528019, 10060, 10087, 10102, 10112, 10345, 10516, 10529, 1071, 10848, 10891, 11034, 111, 11152, 11155, 11186, 112616, 1129, 113791, 1149, 115399, 116, 1161, 119, 1215, 122622, 1282, 1291, 1295, 134, 135, 136, 1375, 137735, 1395, 140, 1401, 1410, 142, 1431, 1432, 1437, 1440, 1441, 145781, 146, 1482, 148738, 1490, 1499, 150094, 152, 1520, 153, 1536, 154, 155, 1559, 156, 161725, 1621, 1636, 1674, 1675, 1756, 1774, 1813, 182, 1824, 1829, 183, 1832, 1837, 185, 187, 1901, 1906, 1909, 1910, 1952, 1956, 2004, 200539, 2010, 2053, 2056, 207, 213, 2147, 2168, 217, 2194, 2218, 2243, 2244, 2273, 22852, 23129, 2318, 23387, 23411, 23493, 240, 241, 246, 2475, 25, 2539, 2548, 255738, 25805, 25959, 26037, 2628, 2641, 2646, 26471, 2660, 27035, 27063, 27129, 2717, 27295, 27329, 282996, 284439, 2876, 2879, 2920, 2921, 2932, 29781, 2982, 2983, 29841, 3000, 3039, 3040, 3067, 3082, 3084, 3091, 31, 3156, 3162, 325, 3265, 3315, 3316, 3329, 3336, 335, 3356, 3357, 3360, 338442, 341, 3418, 3458, 347273, 35, 351, 353189, 355, 3552, 3553, 356, 3565, 3569, 3576, 359, 361, 3630, 367, 3674, 3688, 3690, 3705, 3728, 3753, 3757, 3791, 3845, 387119, 3910, 3920, 3932, 3939, 3990, 3992, 4000, 4023, 406884, 406885, 406886, 406887, 406891, 406903, 406910, 406913, 406919, 406921, 406937, 406940, 406951, 406978, 406985, 406994, 407010, 407011, 407014, 407018, 407029, 407034, 407036, 407050, 407053, 407054, 407056, 41, 4137, 4217, 4233, 4285, 4306, 4311, 432, 4353, 442890, 442891, 442917, 442918, 4512, 4607, 4609, 4624, 4625, 463, 4633, 4634, 4635, 467, 47, 4719, 472, 4720, 4729, 476, 477, 478, 4780, 481, 482, 483, 4830, 4843, 4846, 487, 4878, 4879, 488, 4881, 4882, 4883, 4886, 4893, 490, 494337, 495, 4973, 4987, 5037, 50507, 5054, 5105, 51079, 513, 5139, 51422, 51426, 5156, 51571, 5164, 5170, 51738, 51778, 5294, 5318, 5319, 5327, 5335, 5349, 5350, 5428, 54344, 5443, 54437, 5444, 5465, 5467, 5468, 54968, 5502, 55040, 551, 552, 55210, 554, 55534, 55596, 5563, 55679, 55759, 5577, 5581, 5594, 5595, 5600, 5604, 5605, 5609, 5617, 5624, 5663, 5664, 56672, 56729, 56899, 57057, 57158, 5734, 57381, 574034, 5741, 5742, 5743, 57521, 5753, 57538, 57699, 57724, 5774, 57794, 57798, 5781, 57817, 58, 58498, 5879, 5894, 59341, 59350, 5950, 5972, 5973, 6016, 602, 624, 6261, 6262, 6300, 6324, 6331, 6337, 6338, 6339, 6340, 6347, 6387, 6389, 6392, 64116, 6422, 64223, 64231, 6443, 6444, 6462, 64651, 64798, 64805, 65055, 6523, 6524, 6530, 6548, 6557, 6558, 6584, 6647, 6648, 6649, 6654, 6659, 6714, 673, 6774, 6833, 687, 6901, 6902, 6915, 6934, 70, 7066, 7067, 7083, 7097, 7112, 7124, 7132, 7134, 7137, 7139, 7157, 7168, 727, 7273, 7276, 7350, 7386, 7414, 7422, 7434, 7450, 7498, 7533, 760, 763, 7709, 773, 774, 775, 776, 777, 7781, 781, 7840, 79068, 79071, 79188, 7941, 79804, 80224, 8048, 8073, 81563, 81608, 8204, 8313, 84148, 84335, 8449, 845, 84649, 84665, 84676, 847, 84910, 85366, 8557, 859, 861, 8654, 873, 8767, 88, 8804, 8854, 8862, 8882, 8972, 90226, 9031, 91624, 9265, 92949, 93649, 9370, 9415, 9464, 947, 9475, 948, 9499, 9518, 9531, 9620, 994, 9997]","[1066, 152, 1815, 2353, 3350, 6530, 6531, 6532, 9407, 9456]",0.9,-2.809386029,0.0,0.0
Heart failure,Amphetamine,"['Heart failure', 'Amphetamine']","[100126336, 100528019, 10060, 10087, 10102, 10112, 10345, 10516, 10529, 1071, 10848, 10891, 11034, 111, 11152, 11155, 11186, 112616, 1129, 113791, 1149, 115399, 116, 1161, 119, 1215, 122622, 1282, 1291, 1295, 134, 135, 136, 1375, 137735, 1395, 140, 1401, 1410, 142, 1431, 1432, 1437, 1440, 1441, 145781, 146, 1482, 148738, 1490, 1499, 150094, 152, 1520, 153, 1536, 154, 155, 1559, 156, 161725, 1621, 1636, 1674, 1675, 1756, 1774, 1813, 182, 1824, 1829, 183, 1832, 1837, 185, 187, 1901, 1906, 1909, 1910, 1952, 1956, 2004, 200539, 2010, 2053, 2056, 207, 213, 2147, 2168, 217, 2194, 2218, 2243, 2244, 2273, 22852, 23129, 2318, 23387, 23411, 23493, 240, 241, 246, 2475, 25, 2539, 2548, 255738, 25805, 25959, 26037, 2628, 2641, 2646, 26471, 2660, 27035, 27063, 27129, 2717, 27295, 27329, 282996, 284439, 2876, 2879, 2920, 2921, 2932, 29781, 2982, 2983, 29841, 3000, 3039, 3040, 3067, 3082, 3084, 3091, 31, 3156, 3162, 325, 3265, 3315, 3316, 3329, 3336, 335, 3356, 3357, 3360, 338442, 341, 3418, 3458, 347273, 35, 351, 353189, 355, 3552, 3553, 356, 3565, 3569, 3576, 359, 361, 3630, 367, 3674, 3688, 3690, 3705, 3728, 3753, 3757, 3791, 3845, 387119, 3910, 3920, 3932, 3939, 3990, 3992, 4000, 4023, 406884, 406885, 406886, 406887, 406891, 406903, 406910, 406913, 406919, 406921, 406937, 406940, 406951, 406978, 406985, 406994, 407010, 407011, 407014, 407018, 407029, 407034, 407036, 407050, 407053, 407054, 407056, 41, 4137, 4217, 4233, 4285, 4306, 4311, 432, 4353, 442890, 442891, 442917, 442918, 4512, 4607, 4609, 4624, 4625, 463, 4633, 4634, 4635, 467, 47, 4719, 472, 4720, 4729, 476, 477, 478, 4780, 481, 482, 483, 4830, 4843, 4846, 487, 4878, 4879, 488, 4881, 4882, 4883, 4886, 4893, 490, 494337, 495, 4973, 4987, 5037, 50507, 5054, 5105, 51079, 513, 5139, 51422, 51426, 5156, 51571, 5164, 5170, 51738, 51778, 5294, 5318, 5319, 5327, 5335, 5349, 5350, 5428, 54344, 5443, 54437, 5444, 5465, 5467, 5468, 54968, 5502, 55040, 551, 552, 55210, 554, 55534, 55596, 5563, 55679, 55759, 5577, 5581, 5594, 5595, 5600, 5604, 5605, 5609, 5617, 5624, 5663, 5664, 56672, 56729, 56899, 57057, 57158, 5734, 57381, 574034, 5741, 5742, 5743, 57521, 5753, 57538, 57699, 57724, 5774, 57794, 57798, 5781, 57817, 58, 58498, 5879, 5894, 59341, 59350, 5950, 5972, 5973, 6016, 602, 624, 6261, 6262, 6300, 6324, 6331, 6337, 6338, 6339, 6340, 6347, 6387, 6389, 6392, 64116, 6422, 64223, 64231, 6443, 6444, 6462, 64651, 64798, 64805, 65055, 6523, 6524, 6530, 6548, 6557, 6558, 6584, 6647, 6648, 6649, 6654, 6659, 6714, 673, 6774, 6833, 687, 6901, 6902, 6915, 6934, 70, 7066, 7067, 7083, 7097, 7112, 7124, 7132, 7134, 7137, 7139, 7157, 7168, 727, 7273, 7276, 7350, 7386, 7414, 7422, 7434, 7450, 7498, 7533, 760, 763, 7709, 773, 774, 775, 776, 777, 7781, 781, 7840, 79068, 79071, 79188, 7941, 79804, 80224, 8048, 8073, 81563, 81608, 8204, 8313, 84148, 84335, 8449, 845, 84649, 84665, 84676, 847, 84910, 85366, 8557, 859, 861, 8654, 873, 8767, 88, 8804, 8854, 8862, 8882, 8972, 90226, 9031, 91624, 9265, 92949, 93649, 9370, 9415, 9464, 947, 9475, 948, 9499, 9518, 9531, 9620, 994, 9997]","[116, 134864, 135, 1390, 147, 148, 150, 153, 1548, 1565, 1813, 2247, 2353, 2572, 2697, 2890, 2902, 2915, 3020, 3021, 3363, 3758, 4128, 4129, 468, 4803, 51655, 5173, 5595, 5999, 6530, 6531, 6532, 6571, 6581, 6584, 6622, 6794, 7054, 7098, 84152, 847, 9407, 9607]",1.0,-4.159693829,0.0,0.0
Heart failure,Dexamphetamine ,"['Heart failure', 'Dexamphetamine (Dextroamphetamine)']","[100126336, 100528019, 10060, 10087, 10102, 10112, 10345, 10516, 10529, 1071, 10848, 10891, 11034, 111, 11152, 11155, 11186, 112616, 1129, 113791, 1149, 115399, 116, 1161, 119, 1215, 122622, 1282, 1291, 1295, 134, 135, 136, 1375, 137735, 1395, 140, 1401, 1410, 142, 1431, 1432, 1437, 1440, 1441, 145781, 146, 1482, 148738, 1490, 1499, 150094, 152, 1520, 153, 1536, 154, 155, 1559, 156, 161725, 1621, 1636, 1674, 1675, 1756, 1774, 1813, 182, 1824, 1829, 183, 1832, 1837, 185, 187, 1901, 1906, 1909, 1910, 1952, 1956, 2004, 200539, 2010, 2053, 2056, 207, 213, 2147, 2168, 217, 2194, 2218, 2243, 2244, 2273, 22852, 23129, 2318, 23387, 23411, 23493, 240, 241, 246, 2475, 25, 2539, 2548, 255738, 25805, 25959, 26037, 2628, 2641, 2646, 26471, 2660, 27035, 27063, 27129, 2717, 27295, 27329, 282996, 284439, 2876, 2879, 2920, 2921, 2932, 29781, 2982, 2983, 29841, 3000, 3039, 3040, 3067, 3082, 3084, 3091, 31, 3156, 3162, 325, 3265, 3315, 3316, 3329, 3336, 335, 3356, 3357, 3360, 338442, 341, 3418, 3458, 347273, 35, 351, 353189, 355, 3552, 3553, 356, 3565, 3569, 3576, 359, 361, 3630, 367, 3674, 3688, 3690, 3705, 3728, 3753, 3757, 3791, 3845, 387119, 3910, 3920, 3932, 3939, 3990, 3992, 4000, 4023, 406884, 406885, 406886, 406887, 406891, 406903, 406910, 406913, 406919, 406921, 406937, 406940, 406951, 406978, 406985, 406994, 407010, 407011, 407014, 407018, 407029, 407034, 407036, 407050, 407053, 407054, 407056, 41, 4137, 4217, 4233, 4285, 4306, 4311, 432, 4353, 442890, 442891, 442917, 442918, 4512, 4607, 4609, 4624, 4625, 463, 4633, 4634, 4635, 467, 47, 4719, 472, 4720, 4729, 476, 477, 478, 4780, 481, 482, 483, 4830, 4843, 4846, 487, 4878, 4879, 488, 4881, 4882, 4883, 4886, 4893, 490, 494337, 495, 4973, 4987, 5037, 50507, 5054, 5105, 51079, 513, 5139, 51422, 51426, 5156, 51571, 5164, 5170, 51738, 51778, 5294, 5318, 5319, 5327, 5335, 5349, 5350, 5428, 54344, 5443, 54437, 5444, 5465, 5467, 5468, 54968, 5502, 55040, 551, 552, 55210, 554, 55534, 55596, 5563, 55679, 55759, 5577, 5581, 5594, 5595, 5600, 5604, 5605, 5609, 5617, 5624, 5663, 5664, 56672, 56729, 56899, 57057, 57158, 5734, 57381, 574034, 5741, 5742, 5743, 57521, 5753, 57538, 57699, 57724, 5774, 57794, 57798, 5781, 57817, 58, 58498, 5879, 5894, 59341, 59350, 5950, 5972, 5973, 6016, 602, 624, 6261, 6262, 6300, 6324, 6331, 6337, 6338, 6339, 6340, 6347, 6387, 6389, 6392, 64116, 6422, 64223, 64231, 6443, 6444, 6462, 64651, 64798, 64805, 65055, 6523, 6524, 6530, 6548, 6557, 6558, 6584, 6647, 6648, 6649, 6654, 6659, 6714, 673, 6774, 6833, 687, 6901, 6902, 6915, 6934, 70, 7066, 7067, 7083, 7097, 7112, 7124, 7132, 7134, 7137, 7139, 7157, 7168, 727, 7273, 7276, 7350, 7386, 7414, 7422, 7434, 7450, 7498, 7533, 760, 763, 7709, 773, 774, 775, 776, 777, 7781, 781, 7840, 79068, 79071, 79188, 7941, 79804, 80224, 8048, 8073, 81563, 81608, 8204, 8313, 84148, 84335, 8449, 845, 84649, 84665, 84676, 847, 84910, 85366, 8557, 859, 861, 8654, 873, 8767, 88, 8804, 8854, 8862, 8882, 8972, 90226, 9031, 91624, 9265, 92949, 93649, 9370, 9415, 9464, 947, 9475, 948, 9499, 9518, 9531, 9620, 994, 9997]","[134864, 147, 1565, 6530, 6531, 6571]",1.1666666666666667,-1.963316931,0.013,0.5459999999999999
